Date,Open,High,Low,Close,Adj Close,Volume
2020-04-07,12.600000,12.730000,12.010000,12.100000,12.100000,26238700
2020-04-08,12.570000,13.450000,12.500000,13.220000,13.220000,29895900
2020-04-09,13.520000,13.870000,13.210000,13.610000,13.610000,30755000
2020-04-13,13.690000,13.820000,13.160000,13.540000,13.540000,16725800
2020-04-14,13.700000,14.090000,13.550000,13.780000,13.780000,18277700
2020-04-15,13.460000,13.690000,13.370000,13.580000,13.580000,17873400
2020-04-16,13.630000,13.650000,12.630000,13.020000,13.020000,32030500
2020-04-17,13.200000,13.465000,12.840000,12.980000,12.980000,21355400
2020-04-20,12.770000,13.335000,12.520000,12.920000,12.920000,25989100
2020-04-21,12.710000,13.040000,12.440000,12.440000,12.440000,46695300
2020-04-22,15.180000,17.150000,14.850000,17.010000,17.010000,170767000
2020-04-23,16.510000,16.860001,16.030001,16.059999,16.059999,89404300
2020-04-24,15.940000,16.219999,15.580000,16.000000,16.000000,65353300
2020-04-27,16.250000,17.000000,16.101999,16.910000,16.910000,43135600
2020-04-28,17.030001,17.260000,16.150000,16.410000,16.410000,28909900
2020-04-29,16.799999,17.870001,16.600000,17.830000,17.830000,41753600
2020-04-30,17.500000,17.990000,17.230000,17.610001,17.610001,30870800
2020-05-01,17.000000,17.299999,16.530001,16.790001,16.790001,27128400
2020-05-04,16.600000,17.190001,16.530001,17.100000,17.100000,17655700
2020-05-05,17.170000,17.754999,17.122000,17.510000,17.510000,25580200
2020-05-06,17.020000,17.820000,17.010000,17.330000,17.330000,25366200
2020-05-07,17.600000,18.170000,17.530001,18.150000,18.150000,31858500
2020-05-08,18.180000,18.260000,17.760000,18.230000,18.230000,20340600
2020-05-11,18.100000,18.459999,18.010000,18.090000,18.090000,17924400
2020-05-12,18.200001,18.270000,17.379999,17.379999,17.379999,18419600
2020-05-13,17.400000,17.590000,16.430000,16.770000,16.770000,21877500
2020-05-14,16.650000,17.150000,16.420000,16.930000,16.930000,19518600
2020-05-15,16.799999,17.235001,16.620001,17.100000,17.100000,21957700
2020-05-18,17.500000,18.200001,17.450001,17.490000,17.490000,28761100
2020-05-19,17.280001,17.879999,17.245001,17.480000,17.480000,13718700
2020-05-20,17.670000,18.250000,17.670000,18.230000,18.230000,20380900
2020-05-21,18.200001,18.389999,17.520000,17.549999,17.549999,16285500
2020-05-22,17.670000,17.680000,17.290001,17.670000,17.670000,12321600
2020-05-26,18.000000,18.030001,17.379999,17.410000,17.410000,16956100
2020-05-27,17.389999,17.389999,16.510000,17.000000,17.000000,23493500
2020-05-28,16.900000,18.379999,16.841999,18.250000,18.250000,46411200
2020-05-29,18.290001,19.010000,17.924999,18.940001,18.940001,58883300
2020-06-01,19.000000,19.590000,18.719999,19.549999,19.549999,36198600
2020-06-02,19.660000,19.870001,19.180000,19.750000,19.750000,25398000
2020-06-03,19.830000,19.830000,18.910000,19.730000,19.730000,38326400
2020-06-04,19.490000,20.030001,19.059999,19.260000,19.260000,47137200
2020-06-05,19.450001,20.340000,19.320000,20.330000,20.330000,36127200
2020-06-08,20.299999,20.760000,20.059999,20.650000,20.650000,20878100
2020-06-09,20.459999,21.139999,20.420000,21.090000,21.090000,27319500
2020-06-10,21.240000,21.360001,20.299999,21.200001,21.200001,33715600
2020-06-11,20.049999,20.950001,19.615000,19.709999,19.709999,39308200
2020-06-12,20.420000,20.440001,19.639999,20.180000,20.180000,24757000
2020-06-15,19.809999,20.790001,19.740000,20.750000,20.750000,16289400
2020-06-16,21.299999,21.455000,20.635000,20.900000,20.900000,20843000
2020-06-17,21.000000,21.950001,20.860001,21.820000,21.820000,24852100
2020-06-18,21.809999,22.010000,21.660000,21.990000,21.990000,17778100
2020-06-19,22.410000,22.695000,21.950001,22.660000,22.660000,33297100
2020-06-22,22.840000,23.600000,22.709999,23.200001,23.200001,26305000
2020-06-23,23.459999,23.915001,23.080000,23.670000,23.670000,26578300
2020-06-24,23.520000,23.950001,22.879999,23.629999,23.629999,26026600
2020-06-25,23.510000,24.500000,23.450001,24.480000,24.480000,26016500
2020-06-26,24.840000,24.900000,23.049999,23.070000,23.070000,34806300
2020-06-29,22.860001,23.200001,22.030001,23.090000,23.090000,29191700
2020-06-30,23.059999,23.667999,22.680000,23.490000,23.490000,21715000
2020-07-01,23.650000,24.225000,23.584999,23.719999,23.719999,21733800
2020-07-02,24.010000,24.120001,23.105000,23.219999,23.219999,18493900
2020-07-06,23.510000,23.969999,23.360001,23.420000,23.420000,18706000
2020-07-07,23.730000,25.580000,23.549999,24.809999,24.809999,41802600
2020-07-08,25.280001,26.500000,25.139999,26.410000,26.410000,39698900
2020-07-09,26.049999,26.760000,25.250000,25.940001,25.940001,21725900
2020-07-10,25.920000,25.930000,24.910000,25.530001,25.530001,23809100
2020-07-13,25.820000,26.280001,24.230000,24.270000,24.270000,21231300
2020-07-14,24.000000,24.270000,23.020000,23.740000,23.740000,30313400
2020-07-15,24.150000,24.650000,23.690001,24.540001,24.540001,24478500
2020-07-16,24.180000,24.420000,23.440001,23.900000,23.900000,20179600
2020-07-17,23.940001,24.680000,23.790001,24.540001,24.540001,17423800
2020-07-20,24.860001,25.320000,24.459999,25.270000,25.270000,20237600
2020-07-21,25.580000,25.740000,24.580000,24.740000,24.740000,51053700
2020-07-22,23.490000,23.790001,22.459999,23.200001,23.200001,83824300
2020-07-23,22.780001,23.090000,21.799999,21.969999,21.969999,47380200
